rebalance_date,return
2018-10-31,0.01854895648999122
2018-11-30,-0.08804830798032248
2018-12-31,0.08006582231501191
2019-01-31,0.03241559343920586
2019-02-28,0.018100448880338682
2019-03-31,0.040852614257061104
2019-04-30,-0.06377111450139628
2019-05-31,0.06958640278296624
2019-06-30,0.015119311876970798
2019-07-31,-0.016743278420875196
2019-08-31,0.019457640561218792
2019-09-30,0.02210442293129211
2019-10-31,0.036198637475842066
2019-11-30,0.029055459992822996
2019-12-31,-0.0004038058598538896
2020-01-31,-0.07916588085426779
2020-02-29,-0.1248712336221961
2020-03-31,0.12698353919827476
2020-04-30,0.04764512182745295
2020-05-31,0.017734533992026513
2020-06-30,0.05889239603691676
2020-07-31,0.06979669225053708
2020-08-31,-0.037443574374427246
2020-09-30,-0.024933626820083044
2020-10-31,0.10877697360116767
2020-11-30,0.0370482717032079
2020-12-31,-0.010190482336403739
2021-01-31,0.027805563114584375
2021-02-28,0.04539921017497206
2021-03-31,0.05291047952023398
2021-04-30,0.006566095837531538
2021-05-31,0.022427383984500615
2021-06-30,0.024412541804786025
2021-07-31,0.029759815477825358
2021-08-31,-0.046605447232388464
2021-09-30,0.07016336524646105
2021-10-31,-0.008034841397699388
2021-11-30,0.046247892248448386
2021-12-31,-0.05274126787683453
2022-01-31,-0.029516994504643512
2022-02-28,0.037590407971505035
2022-03-31,-0.08776907143821644
2022-04-30,0.0022572054096843264
2022-05-31,-0.08246033931001628
2022-06-30,0.09208741594072722
2022-07-31,-0.04080191352086626
2022-08-31,-0.09244604974210735
2022-09-30,0.08127541121285287
2022-10-31,0.05559184262907135
2022-11-30,-0.05762818096634781
2022-12-31,0.0628872752826315
2023-01-31,-0.025142657011209768
2023-02-28,0.03707777936129242
2023-03-31,0.01597492522986066
2023-04-30,0.0046161570452569745
2023-05-31,0.06479972143286594
2023-06-30,0.03273346966695678
2023-07-31,-0.01625221210262129
2023-08-31,-0.04743438202543593
2023-09-30,-0.021708560256690212
2023-10-31,0.0913437229817895
2023-11-30,0.045655422185430394
2023-12-31,0.01592636566957739
2024-01-31,0.05218695999735057
2024-02-29,0.03270198629637755
2024-03-31,-0.04031970864296841
2024-04-30,0.05057953393669323
2024-05-31,0.03528037402566864
2024-06-30,0.012109146066216603
2024-07-31,0.02336554549400094
2024-08-31,0.021004643449419547
2024-09-30,-0.008923564267063977
2024-10-31,0.05963325305722611
2024-11-30,-0.024060007572401787
2024-12-31,0.02685621909611946
2025-01-31,-0.012694732544601295
2025-02-28,-0.05571911592986334
2025-03-31,-0.008670290259329527
2025-04-30,0.06284498603412603
2025-05-31,0.051386166427956015
2025-06-30,0.02303154344336633
2025-07-31,0.020519537835420598
2025-08-31,0.035620412937162005
2025-09-30,0.023837414102428234
2025-10-31,0.0019499438514807288
2025-11-30,0.008267742385457577
